City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain (inches),Snow (inches)
112,Abu Dhabi,AE,24.47,54.37,91.4,70,12,4.7,few clouds,0.0,0.0
113,Grand Gaube,MU,-20.01,57.66,75.99,71,13,11.01,few clouds,0.0,0.0
114,Bethel,US,41.37,-73.41,66.99,93,1,1.77,clear sky,0.0,0.0
115,Constitucion,CL,-35.33,-72.42,50.76,85,6,4.56,clear sky,0.0,0.0
116,Itoman,JP,26.12,127.67,87.8,79,75,16.11,broken clouds,0.0,0.0
117,Nizhneyansk,JP,26.12,127.67,87.8,79,75,16.11,broken clouds,0.0,0.0
118,Deputatskiy,RU,69.3,139.9,83.84,20,0,8.7,clear sky,0.0,0.0
119,Cam Ranh,VN,11.92,109.16,96.8,53,20,16.11,few clouds,0.0,0.0
120,Verkhoturye,RU,58.86,60.81,54.1,46,26,13.49,scattered clouds,0.0,0.0
121,Santa Fe,AR,-31.63,-60.7,61.0,89,98,1.99,overcast clouds,0.0,0.0
122,Ola,RU,59.58,151.28,55.08,72,18,10.04,few clouds,0.0,0.0
123,Carnarvon,AU,-24.87,113.63,75.2,57,0,6.93,clear sky,0.0,0.0
124,Zeya,RU,53.75,127.27,54.68,91,100,5.08,overcast clouds,0.0,0.0
125,Westport,US,41.14,-73.36,68.0,97,28,3.69,scattered clouds,0.0,0.0
126,Sorvag,US,41.14,-73.36,68.0,97,28,3.69,scattered clouds,0.0,0.0
127,Kodiak,US,57.79,-152.41,50.0,87,90,11.41,light rain,0.0,0.0
128,New Norfolk,AU,-42.78,147.06,52.0,90,100,1.34,overcast clouds,0.0,0.0
129,Illoqqortoormiut,AU,-42.78,147.06,52.0,90,100,1.34,overcast clouds,0.0,0.0
130,Samarai,PG,-10.62,150.67,80.19,83,19,9.51,few clouds,0.0,0.0
131,Ornskoldsvik,SE,63.29,18.72,64.4,55,84,5.82,broken clouds,0.0,0.0
132,Bend,US,44.06,-121.32,61.0,73,62,1.28,broken clouds,0.0,0.0
133,Terekli-Mekteb,RU,44.17,45.87,81.1,42,46,5.3,scattered clouds,0.0,0.0
134,Palmira,CO,3.54,-76.3,71.6,88,75,5.82,broken clouds,0.0,0.0
135,La Primavera,CO,5.49,-70.41,73.53,98,92,3.58,moderate rain,2.28,0.0
136,Manavalakurichi,IN,8.13,77.3,84.2,83,75,8.05,broken clouds,0.0,0.0
137,Petukhovo,RU,55.07,67.9,60.42,86,100,11.27,light rain,0.16,0.0
138,Chuy,UY,-33.7,-53.46,60.89,97,98,8.32,light rain,0.77,0.0
139,Atuona,PF,-9.8,-139.03,80.08,64,0,10.92,clear sky,0.0,0.0
