City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Kapaa,US,2020-06-18 05:28:04,22.08,-159.32,78.8,78,75,13.87
129,Saskylakh,RU,2020-06-18 05:28:04,71.92,114.08,61.43,58,92,4.38
130,Lompoc,US,2020-06-18 05:24:37,34.64,-120.46,59.0,87,0,5.82
131,Tokur,RU,2020-06-18 05:28:05,53.13,132.9,57.85,46,93,5.61
132,Kibre Mengist,ET,2020-06-18 05:28:05,5.88,38.98,60.94,88,99,3.78
133,Rio Grande,BR,2020-06-18 05:28:05,-32.03,-52.1,63.0,90,100,3.0
134,Demyansk,RU,2020-06-18 05:28:05,57.64,32.47,74.07,70,37,3.36
135,Katangli,RU,2020-06-18 05:28:06,51.71,143.23,41.5,94,100,10.92
136,Saint-Philippe,RE,2020-06-18 05:28:06,-21.36,55.77,71.6,73,93,17.22
137,Manokwari,ID,2020-06-18 05:28:06,-0.87,134.08,84.7,70,20,8.97
138,Rapar,IN,2020-06-18 05:28:06,23.57,70.63,92.34,55,1,12.44
139,Senanga,ZM,2020-06-18 05:28:06,-16.12,23.27,46.51,75,0,5.77
140,Ketchikan,US,2020-06-18 05:28:06,55.34,-131.65,53.6,87,90,18.34
141,Menongue,AO,2020-06-18 05:28:07,-14.66,17.69,44.01,81,0,5.66
142,Upernavik,GL,2020-06-18 05:28:07,72.79,-56.15,32.7,92,0,7.81
143,Padang,ID,2020-06-18 05:28:07,-0.95,100.35,84.49,70,78,3.98
144,Esperance,AU,2020-06-18 05:28:07,-33.87,121.9,59.0,58,40,21.92
145,Rabat,MA,2020-06-18 05:27:56,33.99,-6.84,64.0,93,40,4.7
146,Leh,IN,2020-06-18 05:28:08,34.17,77.58,54.99,37,1,7.2
147,Hay River,CA,2020-06-18 05:28:08,60.82,-115.8,59.0,51,40,6.93
148,Mega,ET,2020-06-18 05:28:08,4.05,38.3,56.75,89,99,17.65
149,Nanortalik,GL,2020-06-18 05:28:08,60.14,-45.24,37.36,86,39,8.08
150,Hualmay,PE,2020-06-18 05:28:09,-11.1,-77.61,61.93,84,67,7.31
151,Chokurdakh,RU,2020-06-18 05:28:09,70.63,147.92,88.45,19,4,11.63
152,Buraydah,SA,2020-06-18 05:28:09,26.33,43.98,91.4,19,0,18.34
153,Vestmannaeyjar,IS,2020-06-18 05:28:09,63.44,-20.27,47.93,80,100,21.03
154,Bredasdorp,ZA,2020-06-18 05:28:10,-34.53,20.04,39.2,93,4,6.51
155,Ozernovskiy,RU,2020-06-18 05:28:10,51.5,156.52,45.91,83,72,7.85
156,Beloha,MG,2020-06-18 05:28:10,-25.17,45.05,63.55,74,25,12.71
157,Kaitangata,NZ,2020-06-18 05:28:10,-46.28,169.85,46.0,51,53,5.99
158,Svetlaya,RU,2020-06-18 05:28:10,46.54,138.33,52.92,79,94,9.42
159,Bukama,CD,2020-06-18 05:28:10,-9.2,25.85,60.94,61,39,2.55
160,Cabedelo,BR,2020-06-18 05:28:11,-6.98,-34.83,74.43,85,12,11.63
161,Fairbanks,US,2020-06-18 05:24:20,64.84,-147.72,71.6,30,75,9.17
162,Bay Saint Louis,US,2020-06-18 05:28:11,30.31,-89.33,75.2,78,1,3.78
163,Oriximina,BR,2020-06-18 05:28:11,-1.77,-55.87,75.94,86,92,3.06
164,Kanye,BW,2020-06-18 05:28:11,-24.97,25.33,39.22,96,4,7.52
165,Ancud,CL,2020-06-18 05:28:12,-41.87,-73.82,50.0,100,90,21.92
166,Wanning,CN,2020-06-18 05:28:12,18.8,110.4,87.93,66,0,14.38
167,Port Macquarie,AU,2020-06-18 05:28:12,-31.43,152.92,64.0,77,81,9.31
168,Centralia,US,2020-06-18 05:28:12,46.72,-122.95,59.0,82,1,3.18
169,Alice Springs,AU,2020-06-18 05:28:12,-23.7,133.88,75.2,22,0,8.05
170,Wairoa,NZ,2020-06-18 05:28:13,-39.03,177.37,57.0,83,100,1.99
171,Biri,PH,2020-06-18 05:28:13,12.68,124.36,84.74,73,100,8.61
172,Montepuez,MZ,2020-06-18 05:28:13,-13.13,39.0,64.67,77,22,10.51
173,Hasaki,JP,2020-06-18 05:28:13,35.73,140.83,77.0,78,75,8.05
174,Provideniya,RU,2020-06-18 05:28:13,64.38,-173.3,59.0,58,5,6.71
175,Karabuk,TR,2020-06-18 05:28:14,41.2,32.63,68.0,82,100,8.05
176,Nantucket,US,2020-06-18 05:28:14,41.28,-70.1,53.6,94,90,7.61
177,Torbay,CA,2020-06-18 05:28:14,47.67,-52.73,59.0,67,90,20.8
178,Zhangye,CN,2020-06-18 05:24:21,38.93,100.45,90.18,11,96,7.34
179,Matagami,CA,2020-06-18 05:28:14,49.75,-77.63,73.4,60,1,4.7
180,Modrica,RS,2020-06-18 05:28:15,43.52,21.36,64.4,88,75,2.24
181,Constitucion,CL,2020-06-18 05:26:28,-35.33,-72.42,53.8,86,99,16.87
182,Pitanga,BR,2020-06-18 05:28:15,-24.76,-51.76,58.05,91,81,6.76
183,Aklavik,CA,2020-06-18 05:28:15,68.22,-135.01,60.8,67,75,5.82
